time,G(i),H_sun,T2m,WS10m,Int
20200123:2111,0,0,6.53,5.24,0
20200123:2211,0,0,6.57,5.31,0
20200123:2311,0,0,6.61,5.24,0
20200124:0011,0,0,6.54,5.17,0
20200124:0111,0,0,5.95,5.03,0
20200124:0211,0,0,6.07,5.03,0
20200124:0311,0,0,6.32,5.03,0
20200124:0411,0,0,6.36,4.83,0
20200124:0511,0,0,6.69,4.76,0
20200124:0611,0,0,6.8,4.69,0
20200124:0711,0,0,6.78,4.76,0
20200124:0811,0,0,6.95,4.48,0
20200124:0911,5.39,4.89,7.04,4.28,0
20200124:1011,16.16,10.05,7.19,4.07,0
20200124:1111,14.36,13.49,7.32,4.28,0
20200124:1211,11.97,14.93,7.59,3.79,0
20200124:1311,13.77,14.23,7.97,4.48,0
20200124:1411,84.65,11.46,7.69,3.66,0
20200124:1511,10.77,6.87,7.5,3.31,0
20200124:1611,0,0,7.24,2.76,0
20200124:1711,0,0,7.02,2.41,0
20200124:1811,0,0,6.92,2.62,0
20200124:1911,0,0,7.23,2.83,0
20200124:2011,0,0,7.15,3.17,0
20200124:2111,0,0,6.98,3.52,0
20200124:2211,0,0,6.53,3.72,0
20200124:2311,0,0,6.43,3.93,0
20200125:0011,0,0,6.23,4.07,0
20200125:0111,0,0,6.32,4.28,0
20200125:0211,0,0,6.22,4.41,0
20200125:0311,0,0,6.22,4.55,0
20200125:0411,0,0,6.12,4.55,0
20200125:0511,0,0,6.07,4.69,0
20200125:0611,0,0,6,4.97,0
20200125:0711,0,0,6.04,5.24,0
20200125:0811,0,0,5.99,5.38,0
20200125:0911,5.98,5.08,5.92,5.59,0
20200125:1011,15.56,10.26,6.04,5.31,0
20200125:1111,37.11,13.72,6.4,6.41,0
20200125:1211,15.56,15.17,6.89,6.62,0
20200125:1311,16.16,14.48,7.32,6.41,0
20200125:1411,25.14,11.71,7.61,6,0
20200125:1511,7.18,7.11,7.58,5.86,0
20200125:1611,0,0,7.1,5.86,0
20200125:1711,0,0,6.34,5.52,0
20200125:1811,0,0,5.95,5.38,0
20200125:1911,0,0,6.15,5.38,0
20200125:2011,0,0,6.14,5.45,0
20200125:2111,0,0,5.97,5.52,0
20200125:2211,0,0,5.79,5.52,0
20200125:2311,0,0,5.67,5.59,0
20200126:0011,0,0,5.61,5.66,0
20200126:0111,0,0,5.16,5.59,0
20200126:0211,0,0,5.36,5.66,0
20200126:0311,0,0,5.44,5.86,0
20200126:0411,0,0,5.63,6.14,0
20200126:0511,0,0,5.65,6.34,0
20200126:0611,0,0,5.61,6.62,0
20200126:0711,0,0,5.69,7.03,0
20200126:0811,0,0,5.53,7.03,0
20200126:0911,3.59,5.29,5.72,6.97,0
20200126:1011,16.76,10.48,5.99,7.03,0
20200126:1111,37.11,13.95,6.21,6.9,0
20200126:1211,56.61,15.42,6.26,6.41,0
20200126:1311,37.71,14.73,6,5.59,0
20200126:1411,110.2,11.97,5.3,5.31,0
20200126:1511,18.55,7.37,4.75,4.62,0
20200126:1611,0,0,4.19,4.07,0
20200126:1711,0,0,3.39,3.52,0
20200126:1811,0,0,2.72,3.1,0
20200126:1911,0,0,2.39,3.17,0
20200126:2011,0,0,1.89,3.17,0
20200126:2111,0,0,1.34,3.17,0
20200126:2211,0,0,0.86,3.38,0
20200126:2311,0,0,0.61,3.52,0
20200127:0011,0,0,0.72,3.66,0
20200127:0111,0,0,0.96,4.21,0
20200127:0211,0,0,1.04,4.97,0
20200127:0311,0,0,1.34,5.59,0
20200127:0411,0,0,2.08,5.59,0
20200127:0511,0,0,2.15,5.45,0
20200127:0611,0,0,1.84,5.52,0
